"displayName","serialNumber","manufacturer","model","enrolmentState","enrolmentProfile","enrolmentType","groupTag","Id"
,"0000-2544-7755-1141-4684-8656-00","Microsoft Corporation","Virtual Machine","notContacted",,,"","302c5c57-4b03-4797-bab1-e85508986caf"
"KSK-85178389","3333-0566-4630-7688-5849-7749-33","Microsoft Corporation","Virtual Machine","notContacted","WIN_PRD_COPE_Entra_Kiosk","AzureDomainJoined","KIOSK","9121e057-bc21-4760-a39c-0a01b09355e8"
"ENB-74400683","7440-0683","Microsoft Corporation","Virtual Machine","notContacted","WIN_PRD_COPE_Entra_CIS","AzureDomainJoined","","96de5a32-5400-4d5e-945f-a60587cca209"
"MVE-02005761","AAAA-AAAA-AAAA-AAAA-4981-0020-19","Microsoft Corporation","Virtual Machine","enrolled","PRD_WIN_COPE_D_Entra_MVE","AzureDomainJoined","ODD","95bf331d-68fc-4a9a-be3a-04c292198c9a"
"MVE-65170253","BBBB-0566-4630-7688-5849-BBBB-BB","Microsoft Corporation","Virtual Machine","notContacted","WIN_PRD_COPE_Entra_MVE","AzureDomainJoined","ODD","6f92574f-bc47-4750-9f5a-db45e7019fd8"
"MVE-31002177","CCCC-CCCC-5750-0987-7029-7718-CC","Microsoft Corporation","Virtual Machine","notContacted","PRD_WIN_COPE_D_Entra_MVE","AzureDomainJoined","ODD","374cc64d-d1ef-4052-9d7a-a61f65a38cc6"
"ENB-NUESTLJTKIT","DNuesTLjtKit","QEMU","QEMU Virtual Machine","notContacted","WIN_PRD_COPE_Entra_CIS","AzureDomainJoined","CIS","51ec699f-03f0-41b5-90c2-89988a29eb2f"
"KSK-97351563","KIOS-K566-4630-7688-5849-KIOS-K2","Microsoft Corporation","Virtual Machine","enrolled","PRD_WIN_COPE_D_Kiosk","AzureDomainJoined","KIOSK","1abcf80b-530c-4019-9df1-54926e240329"
"MVE-46881232","lWingkVC8FDU","QEMU","QEMU Virtual Machine","enrolled","PRD_WIN_COPE_D_Entra_MVE","AzureDomainJoined","ODD","912032ad-76b5-4a17-982f-981420b1df46"
"MVE-65102705","mRAxCPwm","Microsoft Corporation","Virtual Machine","notContacted","WIN_PRD_COPE_Entra_MVE","AzureDomainJoined","ODD","dd467213-ba40-4389-aa2d-4f62bc3d305a"
"CIS-52637781","POIUYTREWQ","Microsoft Corporation","Virtual Machine","notContacted","WIN_PRD_COPE_Entra_CIS","AzureDomainJoined","CISLEVEL1","5931fa04-5f78-479f-89c7-44433a15690a"
"CIS-60059403","QWERTYIOP","Microsoft Corporation","Virtual Machine","notContacted","WIN_PRD_COPE_Entra_CIS","AzureDomainJoined","CIS","36a7e353-0328-4931-aca8-2d9e4d3e7ca9"
"ODD-88775498","WIN1-0016-5750-0987-7029-7718-10","Microsoft Corporation","Virtual Machine","enrolled","PRD_WIN_COPE_D_Entra_ODD","AzureDomainJoined","TESTING","68983c79-38ae-413e-a015-5b636a6049f3"
